exp(  0.00)=1.0000000000e+00,  your_exp=1.0000000000e+00,  abs_err=0.00000e+00,  rel_err=0.0000000000e+00
exp(  0.50)=1.6487212707e+00,  your_exp=1.6487212707e+00,  abs_err=5.30243e-13,  rel_err=3.2160834338e-13
exp(  1.00)=2.7182818285e+00,  your_exp=2.7182818285e+00,  abs_err=8.14904e-13,  rel_err=2.9978631779e-13
exp(  1.50)=4.4816890703e+00,  your_exp=4.4816890703e+00,  abs_err=2.49578e-13,  rel_err=5.5688409441e-14
exp(  2.00)=7.3890560989e+00,  your_exp=7.3890560989e+00,  abs_err=4.76952e-13,  rel_err=6.4548408483e-14
exp(  2.50)=1.2182493961e+01,  your_exp=1.2182493961e+01,  abs_err=5.68434e-13,  rel_err=4.6659919590e-14
exp(  3.00)=2.0085536923e+01,  your_exp=2.0085536923e+01,  abs_err=5.22249e-13,  rel_err=2.6001242226e-14
exp(  3.50)=3.3115451959e+01,  your_exp=3.3115451959e+01,  abs_err=3.83693e-13,  rel_err=1.1586526972e-14
exp(  4.00)=5.4598150033e+01,  your_exp=5.4598150033e+01,  abs_err=2.48690e-13,  rel_err=4.5549154571e-15
exp(  4.50)=9.0017131301e+01,  your_exp=9.0017131301e+01,  abs_err=1.17950e-12,  rel_err=1.3103071874e-14
exp(  5.00)=1.4841315910e+02,  your_exp=1.4841315910e+02,  abs_err=6.82121e-13,  rel_err=4.5960953224e-15
exp(  5.50)=2.4469193226e+02,  your_exp=2.4469193226e+02,  abs_err=4.26326e-13,  rel_err=1.7422954550e-15
exp(  6.00)=4.0342879349e+02,  your_exp=4.0342879349e+02,  abs_err=1.13687e-12,  rel_err=2.8180149646e-15
exp(  6.50)=6.6514163304e+02,  your_exp=6.6514163304e+02,  abs_err=9.09495e-13,  rel_err=1.3673699805e-15
exp(  7.00)=1.0966331584e+03,  your_exp=1.0966331584e+03,  abs_err=9.09495e-13,  rel_err=8.2935181631e-16
exp(  7.50)=1.8080424145e+03,  your_exp=1.8080424145e+03,  abs_err=6.82121e-13,  rel_err=3.7727047821e-16
exp(  8.00)=2.9809579870e+03,  your_exp=2.9809579870e+03,  abs_err=9.09495e-13,  rel_err=3.0510148272e-16
exp(  8.50)=4.9147688403e+03,  your_exp=4.9147688403e+03,  abs_err=0.00000e+00,  rel_err=0.0000000000e+00
exp(  9.00)=8.1030839276e+03,  your_exp=8.1030839276e+03,  abs_err=0.00000e+00,  rel_err=0.0000000000e+00
exp(  9.50)=1.3359726830e+04,  your_exp=1.3359726830e+04,  abs_err=3.63798e-12,  rel_err=2.7230937080e-16
exp( 10.00)=2.2026465795e+04,  your_exp=2.2026465795e+04,  abs_err=7.27596e-12,  rel_err=3.3032796464e-16
exp( 10.50)=3.6315502674e+04,  your_exp=3.6315502674e+04,  abs_err=1.45519e-11,  rel_err=4.0070807663e-16
exp( 11.00)=5.9874141715e+04,  your_exp=5.9874141715e+04,  abs_err=0.00000e+00,  rel_err=0.0000000000e+00
exp( 11.50)=9.8715771011e+04,  your_exp=9.8715771011e+04,  abs_err=1.45519e-11,  rel_err=1.4741226330e-16
exp( 12.00)=1.6275479142e+05,  your_exp=1.6275479142e+05,  abs_err=5.82077e-11,  rel_err=3.5764022924e-16
exp( 12.50)=2.6833728652e+05,  your_exp=2.6833728652e+05,  abs_err=1.16415e-10,  rel_err=4.3383952836e-16
exp( 13.00)=4.4241339201e+05,  your_exp=4.4241339201e+05,  abs_err=5.82077e-11,  rel_err=1.3156848767e-16
exp( 13.50)=7.2941636985e+05,  your_exp=7.2941636985e+05,  abs_err=2.32831e-10,  rel_err=3.1920128651e-16
exp( 14.00)=1.2026042842e+06,  your_exp=1.2026042842e+06,  abs_err=4.65661e-10,  rel_err=3.8721073377e-16
exp( 14.50)=1.9827592635e+06,  your_exp=1.9827592635e+06,  abs_err=6.98492e-10,  rel_err=3.5228277270e-16
exp( 15.00)=3.2690173725e+06,  your_exp=3.2690173725e+06,  abs_err=0.00000e+00,  rel_err=0.0000000000e+00
exp( 15.50)=5.3896984763e+06,  your_exp=5.3896984763e+06,  abs_err=0.00000e+00,  rel_err=0.0000000000e+00
exp( 16.00)=8.8861105205e+06,  your_exp=8.8861105205e+06,  abs_err=0.00000e+00,  rel_err=0.0000000000e+00
exp( 16.50)=1.4650719429e+07,  your_exp=1.4650719429e+07,  abs_err=5.58794e-09,  rel_err=3.8141031059e-16
